Host_Time_s,Raw_V3,Force_N,Raw_V3_Filtered
1771590280.566965,4.25,0.48170677503333525,4.25
1771590280.595261,-24.25,-4.252308083052893,-24.25
1771590280.595327,-28.8,-5.008089402501747,-28.8
1771590280.595526,0.75,-0.0996634706965524,0.75
1771590280.623334,26.7,4.210781636929329,26.7
1771590280.624882,31.2,4.95825766715347,31.2
1771590280.624983,13.65,2.043101149279319,13.65
1771590280.653424,23.0,3.5961902343005905,23.0
1771590280.655533,15.45,2.3420915613689757,15.45
1771590280.655616,10.3,1.4866467712235698,10.3
1771590280.683612,-8.85,-1.6942790018413871,-8.85
1771590280.684998,-11.05,-2.0597117277287453,-11.05
1771590280.685069,-7.4,-1.4534256143247195,-7.4
1771590280.743504,33.25,5.2987745253666905,33.25
1771590280.745245,5.8,0.7391707409994284,5.8
1771590280.776253,11.15,1.6278366880436852,11.15
1771590280.776395,0.8,-0.09135818147183972,0.8
1771590280.776647,-6.75,-1.3454568544034546,-6.75
1771590280.804289,15.9,2.41683916439139,15.9
1771590280.804573,1.35,-2.2129735976273361e-16,1.35
1771590280.804777,10.05,1.4451203251000064,10.05
1771590280.806283,16.05,2.441755032065528,16.05
1771590280.806365,-9.55,-1.8105530509873649,-9.55
1771590280.806598,-10.0,-1.8853006540097788,-10.0
1771590280.835621,0.45,-0.1494952060448285,0.45
1771590280.835724,0.55,-0.13288462759540312,0.55
1771590280.835976,15.15,2.2922598260207,15.15
1771590280.863745,2.95,0.2657692551908056,2.95
1771590280.865175,-24.95,-4.3685821321988705,-24.95
1771590280.894721,-0.95,-0.3820433043367836,-0.95
1771590280.895085,4.75,0.564759667280462,4.75
1771590280.895183,10.1,1.4534256143247188,10.1
1771590280.896450,-12.75,-2.342091561368976,-12.75
1771590280.924578,-17.1,-3.06465172391898,-17.1
1771590280.952931,-3.65,-0.8305289224712684,-3.65
1771590280.954404,14.55,2.1925963553241474,14.55
1771590280.954494,10.15,1.4617309035494317,10.15
1771590280.956281,17.3,2.6493872626833452,17.3
1771590280.956358,14.35,2.159375198425297,14.35
1771590280.985323,-6.45,-1.2956251190551784,-6.45
1771590280.985738,5.55,0.6976442948758649,5.55
1771590280.985802,15.1,2.283954536795987,15.1
1771590281.013398,12.75,1.893605943234491,12.75
1771590281.015544,-1.75,-0.5149279319321864,-1.75
1771590281.015688,-0.4,-0.290685122864944,-0.4
1771590281.043424,-4.4,-0.9551082608419585,-4.4
1771590281.045384,-11.8,-2.1842910660994352,-11.8
1771590281.045465,11.05,1.61122610959426,11.05
1771590281.075407,9.8,1.4035938789764428,9.8
1771590281.075560,8.1,1.1212140453362116,8.1
1771590281.104656,22.4,3.496526763604038,22.4
1771590281.104855,-9.8,-1.8520794971109282,-9.8
1771590281.106376,11.35,1.661057844942536,11.35
1771590281.106472,-51.3,-8.745469553622453,-51.3
1771590281.136874,25.05,3.9367070925138106,25.05
1771590281.137172,-7.7,-1.5032573496729953,-7.7
1771590281.163358,16.65,2.5414185027620797,16.65
1771590281.165321,-6.0,-1.2208775160327643,-6.0
1771590281.165456,12.05,1.7773318940885137,12.05
1771590281.193348,-10.85,-2.0264905708298944,-10.85
1771590281.195433,10.25,1.478341481998857,10.25
1771590281.224343,1.85,0.08305289224712659,1.85
1771590281.224525,21.6,3.363642136008636,21.6
1771590281.224855,16.2,2.466670899739666,16.2
1771590281.226347,-6.9,-1.3703727220775925,-6.9
1771590281.255430,-7.35,-1.4451203251000067,-7.35
1771590281.255536,16.05,2.441755032065528,16.05
1771590281.255877,-0.55,-0.31560099053908214,-0.55
1771590281.283839,11.0,1.602920820369547,11.0
1771590281.285199,0.85,-0.08305289224712704,0.85
1771590281.288106,1.0,-0.058137024572989,1.0
1771590281.315454,-13.35,-2.441755032065528,-13.35
1771590281.315544,-1.35,-0.448485618134485,-1.35
1771590281.315796,-10.35,-1.9434376785827674,-10.35
1771590281.343249,9.55,1.3620674328528795,9.55
1771590281.345172,-1.65,-0.49831735348276107,-1.65
1771590281.345231,10.45,1.5115626388977075,10.45
1771590281.376939,10.4,1.503257349672995,10.4
1771590281.376998,17.5,2.6826084195821958,17.5
1771590281.404199,10.9,1.5863102419201218,10.9
1771590281.432938,11.05,1.61122610959426,11.05
1771590281.434123,24.0,3.762296018794844,24.0
1771590281.436443,-15.3,-2.765661311829323,-15.3
1771590281.436520,7.4,1.004939996190234,7.4
1771590281.436682,-11.05,-2.0597117277287453,-11.05
1771590281.436916,19.05,2.940072385548289,19.05
